Matter,T1,B0,ADC,FA,L1,L2,L3,RA,RD,TR,VR
1,117.29500,495.000,1.0801000E-03,1.3329000E-01,1.0801000E-03,9.1920000E-04,8.3062000E-04,1.0948000E-01,8.7491000E-04,2.8299000E-03,9.8246000E-01
1,198.43360,346.000,1.7518000E-03,2.1196000E-01,1.7518000E-03,1.3055000E-03,1.1725000E-03,1.7572000E-01,1.2390000E-03,4.2298000E-03,9.5671000E-01
1,172.54610,445.000,3.6733000E-03,2.4294000E-01,3.6733000E-03,2.5323000E-03,2.3741000E-03,2.0238000E-01,2.4532000E-03,8.5797000E-03,9.4410000E-01
1,132.85540,594.000,1.7626000E-03,1.8875000E-01,1.7626000E-03,1.3069000E-03,1.2649000E-03,1.5598000E-01,1.2859000E-03,4.3344000E-03,9.6612000E-01
1,166.92520,357.000,1.1448000E-03,2.6102000E-01,1.1448000E-03,7.9329000E-04,6.9918000E-04,2.1814000E-01,7.4623000E-04,2.6372000E-03,9.3466000E-01
1,158.80840,430.000,2.3015000E-03,1.0489000E-01,2.3015000E-03,2.0322000E-03,1.8706000E-03,8.5959000E-02,1.9514000E-03,6.2043000E-03,9.8910000E-01
1,103.30140,591.000,1.8207000E-03,1.6625000E-01,1.8207000E-03,1.5104000E-03,1.3056000E-03,1.3701000E-01,1.4080000E-03,4.6368000E-03,9.7247000E-01
1,98.74750,489.000,1.9381000E-03,6.2281000E-02,1.9381000E-03,1.9062000E-03,1.7236000E-03,5.0918000E-02,1.8149000E-03,5.5678000E-03,9.9603000E-01
1,110.83710,409.000,1.9661000E-03,3.4761000E-01,1.9661000E-03,1.1469000E-03,1.0505000E-03,2.9600000E-01,1.0987000E-03,4.1634000E-03,8.8616000E-01
1,163.48300,392.000,2.9181000E-03,1.8634000E-01,2.9181000E-03,2.3204000E-03,2.0220000E-03,1.5394000E-01,2.1712000E-03,7.2605000E-03,9.6585000E-01
1,171.29380,435.000,3.3145000E-03,2.8897000E-01,3.3145000E-03,2.2349000E-03,1.9016000E-03,2.4280000E-01,2.0683000E-03,7.4510000E-03,9.1943000E-01
1,174.44610,359.000,3.6632000E-03,2.2619000E-01,3.6632000E-03,2.5768000E-03,2.4504000E-03,1.8792000E-01,2.5136000E-03,8.6904000E-03,9.5153000E-01
